t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,14,2.7142857142857144,3,3.0,0,0,0.2222222222222222
2,26,3.3846153846153846,4,4.0,0,0,0.17647058823529413
3,30,3.5,5,5.0,0,0,0.2727272727272727
4,41,4.097560975609756,6,6.0,0,0,0.26785714285714285
5,51,4.647058823529412,7,7.0,0,0,0.3333333333333333
6,48,4.770833333333333,8,8.0,0,0,0.2857142857142857
7,65,5.507692307692308,9,9.0,0,0,0.2696629213483146
8,74,5.95945945945946,10,10.0,0,0,0.37623762376237624
9,77,6.7272727272727275,11,11.0,0,0,0.2905982905982906
10,87,6.850574712643678,12,11.700000000000003,0,0,0.312
11,97,7.402061855670103,13,13.0,0,0,0.3333333333333333
12,99,8.1010101010101,14,13.099999999999994,0,0,0.3333333333333333
13,105,8.076190476190476,15,14.799999999999997,0,0,0.2911392405063291
14,123,9.016260162601625,16,16.0,0,0,0.3179190751445087
15,127,9.826771653543307,17,16.69999999999999,0,0,0.358695652173913
16,133,9.992481203007518,18,18.0,0,0,0.3
17,151,10.71523178807947,19,19.0,0,0,0.3148148148148148
18,158,11.620253164556962,20,20.0,0,0,0.35526315789473684
19,154,11.376623376623376,21,20.349999999999994,0,0,0.31092436974789917
20,169,11.810650887573965,22,21.0,0,0,0.3237704918032787
21,171,12.426900584795321,23,22.0,0,0,0.36
22,167,12.305389221556887,24,23.0,0,0,0.3151750972762646
23,185,12.902702702702703,25,24.0,0,0,0.31343283582089554
24,189,13.645502645502646,26,25.0,0,0,0.34050179211469533
25,188,13.829787234042554,27,26.0,0,0,0.3044982698961938
26,212,14.70754716981132,28,27.0,0,0,0.32450331125827814
27,210,15.1,29,28.0,0,0,0.34394904458598724
28,210,15.40952380952381,30,29.0,7,7,0.2883435582822086
29,237,16.29113924050633,31,29.19999999999999,6,12,0.33035714285714285
30,236,16.85169491525424,32,31.0,9,26,0.3553008595988539
31,244,17.758196721311474,33,33.0,7,41,0.2972972972972973
32,266,18.127819548872182,34,33.0,6,41,0.328125
33,265,18.735849056603772,35,34.0,9,55,0.3341708542713568
34,270,19.414814814814815,36,35.0,7,67,0.3048780487804878
35,291,19.646048109965637,37,35.0,6,66,0.3293838862559242
36,291,20.350515463917525,38,36.0,9,81,0.33793103448275863
37,301,21.325581395348838,39,38.0,7,98,0.31263858093126384
38,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
39,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
40,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
41,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
42,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
43,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
44,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
45,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
46,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
47,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
48,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
49,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
50,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
51,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
52,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
53,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
54,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
55,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
56,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
57,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
58,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
59,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
60,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
61,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
62,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
63,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
64,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
65,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
66,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
67,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
68,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
69,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
70,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
71,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
72,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
73,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
74,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
75,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
76,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
77,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
78,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
79,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
80,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
81,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
82,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
83,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
84,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
85,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
86,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
87,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
88,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
89,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
90,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
91,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
92,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
93,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
94,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
95,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
96,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
97,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
98,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
99,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
100,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
101,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
102,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
103,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
104,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
105,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
106,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
107,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
108,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
109,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
110,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
111,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
112,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
113,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
114,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
115,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
116,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
117,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
118,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
119,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
120,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
121,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
122,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
123,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
124,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
125,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
126,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
127,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
128,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
129,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
130,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
131,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
132,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
133,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
134,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
135,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
136,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
137,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
138,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
139,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
140,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
141,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
142,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
143,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
144,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
145,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
146,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
147,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
148,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
149,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
150,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
151,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
152,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
153,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
154,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
155,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
156,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
157,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
158,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
159,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
160,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
161,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
162,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
163,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
164,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
165,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
166,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
167,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
168,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
169,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
170,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
171,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
172,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
173,309,20.74433656957929,39,38.0,6,84,0.3436123348017621
174,298,20.788590604026847,39,37.0,9,88,0.3370044052863436
175,301,21.325581395348838,39,38.0,7,98,0.31938325991189426
