pf,seed,file,source,v_last,eff_dim,growth_model,status
0.06,1,pf0.06_seed1_summary.json,17,1,0.0,polynomial,dead
0.06,1,pf0.06_seed1_summary.json,71,1,0.0,polynomial,dead
0.06,1,pf0.06_seed1_summary.json,233,9,0.141927111178603,polynomial,localized
0.06,1,pf0.06_seed1_summary.json,252,15,1.0609446586303488,polynomial,localized
0.06,1,pf0.06_seed1_summary.json,373,4,0.16246534574337015,polynomial,dead
0.06,1,pf0.06_seed1_summary.json,410,5,0.28848325817600234,polynomial,localized
0.06,1,pf0.06_seed1_summary.json,471,1,0.0,polynomial,dead
0.06,1,pf0.06_seed1_summary.json,474,1,0.0,polynomial,dead
0.06,2,pf0.06_seed2_summary.json,45,8,0.1624653457433699,polynomial,localized
0.06,2,pf0.06_seed2_summary.json,53,1,0.0,polynomial,dead
0.06,2,pf0.06_seed2_summary.json,128,1,0.0,polynomial,dead
0.06,2,pf0.06_seed2_summary.json,147,2,-4.0835119587245763e-16,polynomial,dead
0.06,2,pf0.06_seed2_summary.json,204,1,0.0,polynomial,dead
0.06,2,pf0.06_seed2_summary.json,224,2,-4.0835119587245763e-16,polynomial,dead
0.06,2,pf0.06_seed2_summary.json,403,4,-8.167023917449153e-16,polynomial,dead
0.06,2,pf0.06_seed2_summary.json,411,8,0.4855593299562571,polynomial,localized
0.06,3,pf0.06_seed3_summary.json,41,7,0.5883961845159434,polynomial,localized
0.06,3,pf0.06_seed3_summary.json,88,3,-2.7438141225855647e-16,polynomial,dead
0.06,3,pf0.06_seed3_summary.json,89,1,0.0,polynomial,dead
0.06,3,pf0.06_seed3_summary.json,116,5,0.12601791243263177,polynomial,localized
0.06,3,pf0.06_seed3_summary.json,288,6,0.2811448111338777,polynomial,localized
0.06,3,pf0.06_seed3_summary.json,395,1,0.0,polynomial,dead
0.06,3,pf0.06_seed3_summary.json,396,2,-4.0835119587245763e-16,polynomial,dead
0.06,3,pf0.06_seed3_summary.json,430,1,0.0,polynomial,dead
0.06,4,pf0.06_seed4_summary.json,40,8,0.4737541296401248,polynomial,localized
0.06,4,pf0.06_seed4_summary.json,253,1,0.0,polynomial,dead
0.06,4,pf0.06_seed4_summary.json,358,17,0.5573589635167959,polynomial,localized
0.06,4,pf0.06_seed4_summary.json,436,3,-2.7438141225855647e-16,polynomial,dead
0.06,4,pf0.06_seed4_summary.json,465,3,-2.7438141225855647e-16,polynomial,dead
0.06,4,pf0.06_seed4_summary.json,467,1,0.0,polynomial,dead
0.06,4,pf0.06_seed4_summary.json,484,1,0.0,polynomial,dead
0.06,4,pf0.06_seed4_summary.json,486,6,0.4436101568772485,polynomial,localized
0.06,5,pf0.06_seed5_summary.json,11,1,0.0,polynomial,dead
0.06,5,pf0.06_seed5_summary.json,142,6,-3.1139887845840925e-16,polynomial,localized
0.06,5,pf0.06_seed5_summary.json,232,14,1.1733957162348483,polynomial,localized
0.06,5,pf0.06_seed5_summary.json,256,1,0.0,polynomial,dead
0.06,5,pf0.06_seed5_summary.json,313,1,0.0,polynomial,dead
0.06,5,pf0.06_seed5_summary.json,330,1,0.0,polynomial,dead
0.06,5,pf0.06_seed5_summary.json,396,1,0.0,polynomial,dead
0.06,5,pf0.06_seed5_summary.json,399,2,-4.0835119587245763e-16,polynomial,dead
0.08,1,pf0.08_seed1_summary.json,17,1,0.0,polynomial,dead
0.08,1,pf0.08_seed1_summary.json,71,8,-2.7019542560210333e-16,polynomial,localized
0.08,1,pf0.08_seed1_summary.json,233,5,0.28848325817600234,polynomial,localized
0.08,1,pf0.08_seed1_summary.json,252,1,0.0,polynomial,dead
0.08,1,pf0.08_seed1_summary.json,373,8,0.20066909443547895,polynomial,localized
0.08,1,pf0.08_seed1_summary.json,410,5,-3.172993121299831e-16,polynomial,localized
0.08,1,pf0.08_seed1_summary.json,471,15,0.55906641704877,polynomial,localized
0.08,1,pf0.08_seed1_summary.json,474,16,0.5908209687317169,polynomial,localized
0.08,2,pf0.08_seed2_summary.json,45,11,0.5448095444483275,polynomial,localized
0.08,2,pf0.08_seed2_summary.json,53,3,-2.7438141225855647e-16,polynomial,dead
0.08,2,pf0.08_seed2_summary.json,128,18,0.6927800013049105,polynomial,localized
0.08,2,pf0.08_seed2_summary.json,146,2,-4.0835119587245763e-16,polynomial,dead
0.08,2,pf0.08_seed2_summary.json,204,1,0.0,polynomial,dead
0.08,2,pf0.08_seed2_summary.json,223,3,-2.7438141225855647e-16,polynomial,dead
0.08,2,pf0.08_seed2_summary.json,402,1,0.0,polynomial,dead
0.08,2,pf0.08_seed2_summary.json,409,4,-8.167023917449153e-16,polynomial,dead
0.08,3,pf0.08_seed3_summary.json,41,1,0.0,polynomial,dead
0.08,3,pf0.08_seed3_summary.json,86,1,0.0,polynomial,dead
0.08,3,pf0.08_seed3_summary.json,88,1,0.0,polynomial,dead
0.08,3,pf0.08_seed3_summary.json,114,7,0.1900190644131048,polynomial,localized
0.08,3,pf0.08_seed3_summary.json,284,65,1.1265149230366032,polynomial,shockwave
0.08,3,pf0.08_seed3_summary.json,390,21,0.9090314657322808,polynomial,shockwave
0.08,3,pf0.08_seed3_summary.json,391,69,2.284648902924895,polynomial,shockwave
0.08,3,pf0.08_seed3_summary.json,424,1,0.0,polynomial,dead
0.08,4,pf0.08_seed4_summary.json,40,1,0.0,polynomial,dead
0.08,4,pf0.08_seed4_summary.json,251,3,-2.7438141225855647e-16,polynomial,dead
0.08,4,pf0.08_seed4_summary.json,355,1,0.0,polynomial,dead
0.08,4,pf0.08_seed4_summary.json,432,1,0.0,polynomial,dead
0.08,4,pf0.08_seed4_summary.json,462,3,-2.7438141225855647e-16,polynomial,dead
0.08,4,pf0.08_seed4_summary.json,463,7,0.1900190644131048,polynomial,localized
0.08,4,pf0.08_seed4_summary.json,480,2,-4.0835119587245763e-16,polynomial,dead
0.08,4,pf0.08_seed4_summary.json,482,10,0.6833417125439453,polynomial,localized
