pf,seed,file,N,E,scdc_loss,spectral_gap_sym,mean_min_distance,pocket_best_size,pocket_best_persistence,n_lightcones,dead_ct,localized_ct,shockwave_ct,dead_frac,localized_frac,shockwave_frac,eff_dim_median,growth_poly_frac,max_gap,gap_from,gap_to
0.06,1,pf0.06_seed1_summary.json,500,1212,0.0,0.17087255075184205,,55,,8,5,3,0,0.625,0.375,0.0,0.0709635555893015,0.0,6,9,15
0.06,2,pf0.06_seed2_summary.json,500,1178,0.0,0.0510426648163258,,51,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,4,4,8
0.06,3,pf0.06_seed3_summary.json,500,1276,0.0,0.1460020477547994,,87,,8,5,3,0,0.625,0.375,0.0,0.0,0.0,2,3,5
0.06,4,pf0.06_seed4_summary.json,500,1234,0.0,0.1538853606128836,,69,,8,5,3,0,0.625,0.375,0.0,0.0,0.0,9,8,17
0.06,5,pf0.06_seed5_summary.json,500,1234,0.0,0.24795927629488923,,85,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,8,6,14
0.08,1,pf0.08_seed1_summary.json,500,1309,0.0,0.04754749363658051,,71,,8,2,6,0,0.25,0.75,0.0,0.10033454721773948,0.0,7,8,15
0.08,2,pf0.08_seed2_summary.json,500,1276,0.0,0.06601069568218909,,96,,8,6,2,0,0.75,0.25,0.0,-1.3719070612927824e-16,0.0,7,4,11
0.08,3,pf0.08_seed3_summary.json,500,1381,0.0,0.10062201700814066,,160,,8,4,1,3,0.5,0.125,0.375,0.0950095322065524,0.0,44,21,65
0.08,4,pf0.08_seed4_summary.json,500,1343,0.0,0.09795812750180666,,90,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,4,3,7
0.08,5,pf0.08_seed5_summary.json,500,1337,0.0,0.07132827204177827,,115,,8,5,3,0,0.625,0.375,0.0,0.08123267287168508,0.0,8,8,16
0.1,1,pf0.10_seed1_summary.json,500,1410,0.0,0.0723073768668101,,161,,8,4,2,2,0.5,0.25,0.25,0.0,0.0,13,11,24
0.1,2,pf0.10_seed2_summary.json,500,1386,0.004,0.05629296978571885,,185,,8,5,0,3,0.625,0.0,0.375,0.08123267287168508,0.0,43,27,70
0.1,3,pf0.10_seed3_summary.json,500,1472,0.004,0.1484488020756698,,271,,8,8,0,0,1.0,0.0,0.0,0.0,0.0,1,1,2
0.1,4,pf0.10_seed4_summary.json,500,1445,0.0,0.08952119286230431,,205,,8,3,2,3,0.375,0.25,0.375,0.4279870367821298,0.0,9,8,17
0.1,5,pf0.10_seed5_summary.json,500,1451,0.0,0.10516949224207983,,235,,8,4,1,3,0.5,0.125,0.375,0.0,0.0,34,31,65
0.12,1,pf0.12_seed1_summary.json,500,1513,0.043,0.15015805058995157,,246,,8,3,1,4,0.375,0.125,0.5,0.7272524931149911,0.0,97,23,120
0.12,2,pf0.12_seed2_summary.json,500,1499,0.019,0.10795918700379525,,293,,8,3,2,3,0.375,0.25,0.375,0.24967883399674343,0.0,79,7,86
0.12,3,pf0.12_seed3_summary.json,500,1558,0.007,0.1765279710882237,,211,,8,4,1,3,0.5,0.125,0.375,0.14598924482266068,0.0,64,16,80
0.12,4,pf0.12_seed4_summary.json,500,1551,0.014,0.2574360626286265,,254,,8,4,1,3,0.5,0.125,0.375,0.17616266274577186,0.0,72,5,77
0.12,5,pf0.12_seed5_summary.json,500,1544,0.047,0.2023209213863426,,271,,8,3,2,3,0.375,0.25,0.375,0.24466903910849874,0.0,105,13,118
0.14,1,pf0.14_seed1_summary.json,500,1620,0.137,0.12698774992149264,,331,,8,3,0,5,0.375,0.0,0.625,0.2699869753881814,0.0,103,1,104
0.14,2,pf0.14_seed2_summary.json,500,1604,0.031,0.28864667005687084,,359,,8,5,1,2,0.625,0.125,0.25,0.0,0.0,89,10,99
0.14,3,pf0.14_seed3_summary.json,500,1656,0.119,0.2408006583148099,,347,,8,5,0,3,0.625,0.0,0.375,0.0,0.0,106,2,108
0.14,4,pf0.14_seed4_summary.json,500,1654,0.111,0.24960416089493487,,341,,8,3,1,4,0.375,0.125,0.5,0.20164055078675133,0.0,95,8,103
0.14,5,pf0.14_seed5_summary.json,500,1657,0.036,0.2702811856929168,,355,,8,3,0,5,0.375,0.0,0.625,1.1027425709763776,0.0,139,1,140
